matricula,cpf,curriculo,forma_ingresso,ano_ingresso,periodo_ingresso,reserva_vagas,forma_evasao,ano_evasao,periodo_evasao,evadiu_periodo,sexo,cor,tipo_ensino_medio,ano_nascimento,idade_ingresso,idade_evasao,media_vestibular,periodo_ingresso_concat,periodo_evasao_concat
900001365,00000000124,1999,VESTIBULAR / ENEM,2012,1,,REGULAR,-1,0,-4026,Homem,Parda,Somente escola pública,1978,34,-1979,58570,2012.1,-1
900000309,00000000125,1999,VESTIBULAR,2010,2,,REGULAR,-1,0,-4023,Homem,Não declarada,,1992,18,-1993,72823,2010.2,-1
900000324,00000000126,1999,VESTIBULAR / ENEM,2011,1,,GRADUADO,2011,2,2,Mulher,Branca,"Pública e privada, tendo ficado mais tempo em escola privada",1987,24,24,7255,2011.1,2011.2
900000799,00000000127,2017,SISU,2015,1,4,REGULAR,-1,0,-4032,Mulher,Parda,Somente escola privada,1992,23,-1993,7325,2015.1,-1
900001589,00000000128,1999,VESTIBULAR / ENEM,2011,1,,GRADUADO,2012,1,3,Homem,Parda,"Pública e privada, tendo ficado mais tempo em escola privada",1991,20,21,61963,2011.1,2012.1
900001186,00000000129,1999,VESTIBULAR,2008,2,,CANCELAMENTO POR ABANDONO,2013,1,10,Homem,Branca,Somente escola privada,1989,19,24,62876,2008.2,2013.1
900002232,00000000130,1999,SISU,2016,1,,GRADUADO,2012,2,-6,Mulher,Parda,Somente escola pública,1996,20,16,768,2016.1,2012.2
900002374,00000000131,1999,VESTIBULAR / ENEM,2011,1,,GRADUADO,2010,2,0,Homem,Não declarada,,1995,16,15,68287,2011.1,2010.2
900001455,00000000132,1999,VESTIBULAR,2010,1,,CANCELAMENTO P/ SOLICITACAO ALUNO,2010,1,1,Homem,Não declarada,,1991,19,19,81005,2010.1,2010.1
900002455,00000000133,1999,VESTIBULAR / ENEM,2013,1,,REGULAR,-1,0,-4028,Homem,Branca,Somente escola pública,1993,20,-1994,6605,2013.1,-1
900002577,00000000134,2017,SISU,2021,1,,REGULAR,-1,0,-4044,Homem,Parda,Somente escola privada,2004,17,-2005,6579,2021.1,-1
900001028,00000000135,2017,SISU,2015,2,,GRADUADO,2015,2,1,Homem,Branca,Somente escola privada,1997,18,18,5844,2015.2,2015.2
900001252,00000000136,1999,VESTIBULAR,2006,2,,REGULAR,-1,0,-4015,Homem,Parda,Somente escola pública,1986,20,-1987,75619,2006.2,-1
900000384,00000000137,1999,VESTIBULAR / ENEM,2013,1,,GRADUADO,2020,1,15,Homem,Não declarada,,1994,19,26,45,2013.1,2020.1
900000856,00000000138,2017,SISU,2020,2,,CANCELADO REPROVOU TODAS POR FALTAS,2009,2,-21,Homem,Parda,Somente escola privada,1994,26,15,6386,2020.2,2009.2
900000355,00000000139,2017,SISU,2020,2,2,CANCELADO 3 REPROV MESMA DISCIPLINA,2014,2,-11,Homem,Branca,Somente escola pública,2003,17,11,670,2020.2,2014.2
900001686,00000000140,2017,SISU,2015,2,,CANCELAMENTO P/ SOLICITACAO ALUNO,2014,2,-1,Homem,Não declarada,,1994,21,20,672,2015.2,2014.2
900002288,00000000141,1999,SISU,2016,2,,GRADUADO,2020,1,8,Homem,Branca,"Pública e privada, tendo ficado mais tempo em escola pública",1995,21,25,6322,2016.2,2020.1
900000534,00000000142,1999,VESTIBULAR,2007,1,,GRADUADO,2011,2,10,Homem,Branca,,1978,29,33,6394,2007.1,2011.2
900002086,00000000143,2017,SISU,2016,2,,GRADUADO,2019,1,6,Homem,Branca,Somente escola privada,1998,18,21,6291,2016.2,2019.1
900001825,00000000144,1999,VESTIBULAR / ENEM,2011,2,,REGULAR,-1,0,-4025,Homem,Branca,Somente escola privada,1987,24,-1988,6431,2011.2,-1
900000797,00000000145,1999,VESTIBULAR / ENEM,2013,2,,CANCELADO 3 REPROV MESMA DISCIPLINA,2017,1,8,Homem,Branca,Somente escola privada,1995,18,22,60357,2013.2,2017.1
900001664,00000000146,1999,VESTIBULAR / ENEM,2012,2,,CANCELAMENTO POR ABANDONO,2018,1,12,Homem,Branca,Somente escola privada,1994,18,24,60925,2012.2,2018.1
900001476,00000000147,1999,VESTIBULAR / ENEM,2014,1,4,GRADUADO,2017,2,8,Homem,Parda,,1995,19,22,7432,2014.1,2017.2
900000749,00000000148,2017,SISU,2019,2,,GRADUADO,2010,1,-18,Homem,Não declarada,Somente escola pública,2000,19,10,6751,2019.2,2010.1
900001094,00000000149,1999,SISU,2015,1,,GRADUADO,2017,1,5,Homem,Parda,Somente escola pública,1997,18,20,5360,2015.1,2017.1
900001403,00000000150,1999,VESTIBULAR / ENEM,2013,1,,REGULAR,-1,0,-4028,Homem,Branca,Somente escola privada,1992,21,-1993,71015,2013.1,-1
900002259,00000000151,2017,SISU,2018,1,,REGULAR,-1,0,-4038,Homem,Parda,Somente escola pública,1995,23,-1996,657,2018.1,-1
900000527,00000000152,2017,SISU,2018,1,4,GRADUADO,2016,1,-3,Homem,Parda,Somente escola pública,1986,32,30,63003,2018.1,2016.1
900000253,00000000153,1999,VESTIBULAR,2010,2,,CANCELADO REPROVOU TODAS POR FALTAS,2014,2,9,Homem,Parda,Somente escola pública,1992,18,22,662,2010.2,2014.2
900001011,00000000154,1999,SISU,2014,2,2,CANCELADO NOVO INGRESSO MESMO CURSO,2011,1,-6,Homem,Branca,Somente escola privada,1998,16,13,7549,2014.2,2011.1
900000420,00000000155,2017,SISU,2020,2,5,REGULAR,-1,0,-4043,Homem,Branca,Somente escola privada,1996,24,-1997,57821,2020.2,-1
900001042,00000000156,1999,VESTIBULAR / ENEM,2012,2,,REGULAR,-1,0,-4027,Homem,Não declarada,,1988,24,-1989,6458,2012.2,-1
900000932,00000000157,2017,SISU,2015,2,,CANCELAMENTO P/ SOLICITACAO ALUNO,2011,2,-7,Homem,Preta,Somente escola privada,1996,19,15,71241,2015.2,2011.2
900000275,00000000158,1999,VESTIBULAR / ENEM,2011,2,,CANCELAMENTO POR ABANDONO,2006,2,-9,Homem,Não declarada,,1990,21,16,5991,2011.2,2006.2
900002246,00000000159,1999,VESTIBULAR / ENEM,2014,1,4,CANCELAMENTO POR ABANDONO,2010,1,-7,Homem,Parda,Somente escola pública,1995,19,15,6422,2014.1,2010.1
900000605,00000000160,2017,SISU,2019,1,5,CANCELADO NOVO INGRESSO OUTRO CURSO,2015,1,-7,Homem,Branca,Somente escola privada,2002,17,13,65654,2019.1,2015.1
900001152,00000000161,2017,SISU,2017,2,,CANCELADO 3 REPROV MESMA DISCIPLINA,2014,1,-6,Homem,Parda,Somente escola privada,1999,18,15,6509,2017.2,2014.1
900001142,00000000162,2017,SISU,2020,1,,REGULAR,-1,0,-4042,Homem,Não declarada,,2003,17,-2004,6396,2020.1,-1
900002241,00000000163,2017,SISU,2019,2,,CANCELAMENTO P/ SOLICITACAO ALUNO,2007,2,-23,Homem,Parda,Somente escola privada,1999,20,8,5486,2019.2,2007.2
